window_start,duration_ms,event_count,dominant_path,http_summary,inferred_challenge,verdict
2026-04-20T22:34:19,0,1,/api/v1/assets/d392e64a-4e4a-4ac0-b546-b4fd47983d54,200×1,unknown,PASS
2026-04-20T22:34:19.626000,0,1,/api/v1/assets/d392e64a-4e4a-4ac0-b546-b4fd47983d54,200×1,unknown,PASS
2026-04-20T22:34:21,0,1,/api/v1/assets/d392e64a-4e4a-4ac0-b546-b4fd47983d54,200×1,unknown,PASS
2026-04-20T22:34:21.637000,0,1,/api/v1/assets/d392e64a-4e4a-4ac0-b546-b4fd47983d54,200×1,unknown,PASS
2026-04-20T22:34:23,0,6,/api/v1/users,200×5 401×1,unknown,UNKNOWN
2026-04-20T22:34:23.650000,2525,142,/api/v1/cover/1,200×141 401×1,entity-browse,UNKNOWN
2026-04-20T22:34:27,29,12,/api/v1/auth/login,200×12,unknown,PASS
2026-04-20T22:37:43,4046,86,/health,200×80 400×5 404×1,health-latency,UNKNOWN
2026-04-20T22:37:47.592000,1793,42,/api/v1/auth/login,200×38 400×1 404×1 500×2,health-latency,FAIL (5xx)
2026-04-20T22:37:50,330,9,/api/v1/auth/login,200×9,health-latency,PASS
2026-04-20T22:37:50.881000,605,9,/api/v1/auth/login,200×9,health-latency,PASS
2026-04-20T22:37:52,126,2,/api/v1/auth/login,200×2,unknown,PASS
2026-04-20T22:37:53,531,6,/api/v1/media/search?q=test,200×6,health-latency,PASS
2026-04-20T22:37:55,285,15,/health,200×15,health-latency,PASS
2026-04-20T22:37:55.839000,1182,27,/health,200×23 429×4,ddos-ratelimit / auth-brute,PASS (expected 429s)
2026-04-20T22:39:27,1337,12,/health,200×10 201×2,health-latency,PASS
2026-04-20T22:39:29,0,2,/api/v1/media/search?query=,200×2,health-latency,PASS
2026-04-20T22:39:29.933000,6681,202,/api/v1/auth/login,200×184 201×10 202×2 404×4 500×2,health-latency,FAIL (5xx)
2026-04-20T22:40:09,0,2,/health,200×2,health-latency,PASS
2026-04-20T22:40:09.772000,291,6,/health,200×6,health-latency,PASS
2026-04-20T22:40:15,0,1,/api/v1/auth/login,200×1,unknown,PASS
2026-04-20T22:40:15.939000,0,1,/api/v1/auth/login,200×1,unknown,PASS
2026-04-20T22:40:42,453,10,/api/v1/storage/roots,200×8 201×2,health-latency,PASS
2026-04-20T22:43:19,0,3,/discovery,200×3,unknown,PASS
2026-04-20T22:43:36,0,3,/discovery,200×3,unknown,PASS
2026-04-20T22:44:07,0,1,/,404×1,unknown,UNKNOWN
2026-04-20T22:44:07.848000,0,1,/,404×1,unknown,UNKNOWN
2026-04-20T22:46:42,0,1,/health,200×1,health-latency,PASS
2026-04-20T22:46:42.696000,0,1,/health,200×1,health-latency,PASS
2026-04-20T22:47:32,0,9,/health,200×4 401×3 403×1 404×1,health-latency,UNKNOWN
2026-04-20T22:47:32.676000,2407,35,/api/v1/auth/login,200×23 401×3 403×3 404×6,health-latency,UNKNOWN
2026-04-20T22:47:35.677000,5783,74,/api/v1/auth/login,200×49 401×4 403×6 404×15,health-latency,UNKNOWN
2026-04-20T22:47:42,460,7,/api/v1/auth/login,200×7,unknown,PASS
2026-04-20T22:47:42.966000,870,159,/health,200×133 401×10 404×4 429×12,ddos-ratelimit / auth-brute,UNKNOWN
2026-04-20T22:47:48,0,1,/api/v1/auth/login,429×1,ddos-ratelimit / auth-brute,PASS (expected 429s)
2026-04-20T22:47:48.838000,0,1,/api/v1/auth/login,429×1,ddos-ratelimit / auth-brute,PASS (expected 429s)
2026-04-20T22:47:58,0,1,/api/v1/auth/login,429×1,ddos-ratelimit / auth-brute,PASS (expected 429s)
2026-04-20T22:47:58.839000,0,1,/api/v1/auth/login,429×1,ddos-ratelimit / auth-brute,PASS (expected 429s)
2026-04-20T22:48:18,0,72,/api/v1/auth/login,200×7 204×3 401×6 404×1 429×55,ddos-ratelimit / auth-brute,UNKNOWN
2026-04-20T22:48:18.840000,635,575,/health,200×311 204×1 400×4 401×14 404×8 429×237,ddos-ratelimit / auth-brute,UNKNOWN
